customerid,namestyle,title,firstname,middlename,lastname,suffix,companyname,salesperson,emailaddress,phone,passwordhash,passwordsalt,rowguid,modifieddate
29485,False,Ms.,Catherine,R.,Abel,None,Professional Sales and Service,adventure-works\linda3,catherine0@adventure-works.com,747-555-0171,zh3goJUbYsPv92k4bVZuJtlLHwuvpQtu6uNcjkKSdF8=,rpyd5Tw=,392ae773-d7ec-48ac-b8d0-6e65b770285c,2009-05-16 16:33:33.077000
29486,False,Ms.,Kim,None,Abercrombie,None,Riders Company,adventure-works\jillian0,kim2@adventure-works.com,334-555-0137,4I8349R6c33cK+j1ef3dZt0JHOQ9MV7OvEXpCbwhQrQ=,rrgbG/U=,2a5aba2e-8db0-4856-a773-21d185f1679e,2009-05-16 16:33:33.077000
29489,False,Ms.,Frances,B.,Adams,None,Area Bike Accessories,adventure-works\shu0,frances0@adventure-works.com,991-555-0183,bmEI+phqLCE2jKmotM8SBAICQD2IvZEmy8X0LmUpMaw=,jA7oD80=,c353fe38-6147-40a3-944d-3736f6297b8c,2009-05-16 16:33:33.090000
29490,False,Ms.,Margaret,J.,Smith,None,Bicycle Accessories and Kits,adventure-works\david8,margaret0@adventure-works.com,959-555-0151,3cd7qJyW8ZTgRdwOO9nLYDZg2EM6lehJe/nqKlKKcPY=,i2U3DxA=,7f2d6183-6aee-4ad1-973d-f45a19b70bf7,2009-05-16 16:33:33.107000
29492,False,Mr.,Jay,None,Adams,None,Valley Bicycle Specialists,adventure-works\jillian0,jay1@adventure-works.com,158-555-0142,jCFDuqUMHmknfadTRSkMvN0IDObtE/GslvN9q2Wa5xU=,117fxZM=,7a2eb695-b6b9-48d4-bad2-bd33e8ce8ca1,2009-05-16 16:33:33.123000
29494,False,Mr.,Samuel,N.,Agcaoili,None,Vinyl and Plastic Goods Corporation,adventure-works\josé1,samuel0@adventure-works.com,554-555-0110,jt9vdIyi0zI03wECUFk1hdZLTVOqN09/Fdogi+cTeQU=,uFYBREA=,66d2dc13-4220-43b8-b2c7-131183caec34,2005-09-01 00:00:00
29496,False,Mr.,Robert,E.,Ahlering,None,Fun Toys and Bikes,adventure-works\shu0,robert1@adventure-works.com,678-555-0175,d35zXrfhsEHK6QrH/B7ipKUuuilEpY8u8rIunip5YWI=,r/UyVHY=,44e51ec2-9d0b-40cc-b725-1a3e81df9519,2007-09-01 00:00:00
29497,False,Mr.,François,None,Ferrier,None,Great Bikes ,adventure-works\david8,françois1@adventure-works.com,571-555-0128,Li26cq1s3a+0YJcgjemlepj98r5eUwJlyHGmDJnSCWI=,NVfuzjo=,eeef3c65-08f9-49c6-ae12-a2fcdedacaf5,2005-07-01 00:00:00
29499,False,Ms.,Amy,E.,Alberts,None,Valley Toy Store,adventure-works\josé1,amy1@adventure-works.com,727-555-0115,dNz/EQlgVlbj0uOpI0Y8Rh+/GFUH1HvBLJJ4pqdSDTE=,yvdbcxM=,29cd70be-d5e5-4a7a-a1d5-521bcce2193d,2006-09-01 00:00:00
29502,False,Mr.,Paul,L.,Alcorn,None,Major Sport Suppliers,adventure-works\david8,paul2@adventure-works.com,331-555-0162,UxlXfO/0JyTpelLFzbqFj9Ie1Rv1OJKPd6Cnm1itSsU=,IZ5yIjI=,f193d485-3a5a-415a-9d3e-4a5db8b4a2a0,2007-07-01 00:00:00
29503,False,Mr.,Gregory,F.,Alderson,None,Family's Favorite Bike Shop,adventure-works\garrett1,gregory0@adventure-works.com,968-555-0153,tEgc21LcZ3r2OP2nJIkrbmo2fXvbIC9npM6uzG1osbY=,IlDduMc=,76f035be-e0e4-47a9-a873-be3012b15c00,2006-08-01 00:00:00
29505,False,Ms.,Michelle,None,Alexander,None,Imported and Domestic Cycles,adventure-works\linda3,michelle0@adventure-works.com,115-555-0175,bA9fPVXpV/0NMRuGiY+zju3+/lcB2r9uBk68dG22Ddk=,M5BkDDQ=,e8ab6307-cd3c-4c36-9fe6-b5da7bbab0a1,2007-05-01 00:00:00
29506,False,Mr.,Sean,P.,Jacobson,None,Systematic Sales,adventure-works\shu0,sean2@adventure-works.com,555-555-0162,T/ASZdvX90M9kM1P5+sGBNxwkhLxF94/vJejQ6pjLiY=,jKAQI7c=,6a1a593c-5424-43a3-ac77-948f6cb19707,2007-08-01 00:00:00
29508,False,Mr.,Marvin,N.,Allen,None,Mountain Toy Store,adventure-works\jillian0,marvin0@adventure-works.com,447-555-0110,fJ1UEyRel4bt2DuzHtDUPBU44ZALMsfyxQQviNGARf8=,7wNTdi8=,273ecf85-4243-4dff-9286-ee65cefb404c,2005-12-01 00:00:00
29510,False,Mr.,Cecil,J.,Allison,None,Designated Distributors,adventure-works\josé1,cecil0@adventure-works.com,699-555-0155,steY9ge/f3jz0DNlVhxkdUx1NrciPQzyUpvtGCcoYBo=,KUNCNjU=,cf861030-dc7a-4287-8ffc-5a349bbfe08a,2005-08-01 00:00:00
29511,False,Mr.,Oscar,L.,Alpuerto,None,Bold Bike Accessories,adventure-works\linda3,oscar0@adventure-works.com,855-555-0174,P1Osji8Ez9uYQCzuZXjnutazXvhAlWDRLjCcTcJb/Ug=,CGYtmQ4=,b812bc01-6796-4b5a-9d7c-c8e7c6057799,2005-08-01 00:00:00
29515,False,Mr.,Maxwell,J.,Amland,None,Serious Cycles,adventure-works\garrett1,maxwell0@adventure-works.com,614-555-0134,8/5CuOyL4qEu4tD2KEd4x1h5OahPfcmZg9L7+F0ATDI=,qoGU2YA=,bbc286a2-31cf-406b-86a0-584c1c48e171,2005-08-01 00:00:00
29517,False,Ms.,Ramona,J.,Antrim,None,Novelty Bikes,adventure-works\michael9,ramona0@adventure-works.com,327-555-0148,CkSWR0RMQArXpZJnpZgCnzSPuw3PUh/1jTmWPcrjYyM=,7xa5oqo=,40035342-3797-4f30-af6c-9c56fc31315a,2007-08-01 00:00:00
